# Date and number of downloads of pcbinst-4.2.2.exe
2020-01-19	0
2020-01-20	0
2020-01-21	0
2020-01-22	0
2020-01-23	0
2020-01-24	0
2020-01-25	0
2020-01-26	0
2020-01-27	0
2020-01-28	0
2020-01-29	0
2020-01-30	0
2020-01-31	0
2020-02-01	0
2020-02-02	0
2020-02-03	0
2020-02-04	0
2020-02-05	0
2020-02-06	0
2020-02-07	37
2020-02-08	16
2020-02-09	10
2020-02-10	11
2020-02-11	14
2020-02-12	15
2020-02-13	8
2020-02-14	15
2020-02-15	4
2020-02-16	10
2020-02-17	10
2020-02-18	13
2020-02-19	16
2020-02-20	11
2020-02-21	8
2020-02-22	7
2020-02-23	16
2020-02-24	6
2020-02-25	10
2020-02-26	8
2020-02-27	14
2020-02-28	12
2020-02-29	7
2020-03-01	8
2020-03-02	23
2020-03-03	10
2020-03-04	4
2020-03-05	7
2020-03-06	5
2020-03-07	6
2020-03-08	15
2020-03-09	17
2020-03-10	5
2020-03-11	12
2020-03-12	7
2020-03-13	17
2020-03-14	13
2020-03-15	13
2020-03-16	10
2020-03-17	9
2020-03-18	13
2020-03-19	18
2020-03-20	4
2020-03-21	11
2020-03-22	13
2020-03-23	9
2020-03-24	18
2020-03-25	17
2020-03-26	9
2020-03-27	14
2020-03-28	12
2020-03-29	12
2020-03-30	12
2020-03-31	10
2020-04-01	9
2020-04-02	17
2020-04-03	17
2020-04-04	17
2020-04-05	16
2020-04-06	22
2020-04-07	10
2020-04-08	15
2020-04-09	12
2020-04-10	6
2020-04-11	20
2020-04-12	12
2020-04-13	20
2020-04-14	9
2020-04-15	10
2020-04-16	15
2020-04-17	16
2020-04-18	10
2020-04-19	10
2020-04-20	9
2020-04-21	20
2020-04-22	11
2020-04-23	9
2020-04-24	10
2020-04-25	7
2020-04-26	17
2020-04-27	9
2020-04-28	10
2020-04-29	18
2020-04-30	13
2020-05-01	16
2020-05-02	12
2020-05-03	15
2020-05-04	10
2020-05-05	13
2020-05-06	12
2020-05-07	17
2020-05-08	18
2020-05-09	17
2020-05-10	19
2020-05-11	9
2020-05-12	14
2020-05-13	24
2020-05-14	5
2020-05-15	13
2020-05-16	10
2020-05-17	11
2020-05-18	14
2020-05-19	19
2020-05-20	16
2020-05-21	19
2020-05-22	17
2020-05-23	13
2020-05-24	9
2020-05-25	15
2020-05-26	7
2020-05-27	6
2020-05-28	12
2020-05-29	8
2020-05-30	12
2020-05-31	7
2020-06-01	30
2020-06-02	37
2020-06-03	5
2020-06-04	10
2020-06-05	5
2020-06-06	9
2020-06-07	29
2020-06-08	14
2020-06-09	14
2020-06-10	7
2020-06-11	17
2020-06-12	5
2020-06-13	8
2020-06-14	8
2020-06-15	9
2020-06-16	11
2020-06-17	18
2020-06-18	14
2020-06-19	26
2020-06-20	9
2020-06-21	15
2020-06-22	26
2020-06-23	23
2020-06-24	7
2020-06-25	13
2020-06-26	2
2020-06-27	14
2020-06-28	17
2020-06-29	21
2020-06-30	16
2020-07-01	9
2020-07-02	17
2020-07-03	21
2020-07-04	12
2020-07-05	10
2020-07-06	13
2020-07-07	17
2020-07-08	11
2020-07-09	18
2020-07-10	7
2020-07-11	6
2020-07-12	12
2020-07-13	15
2020-07-14	23
2020-07-15	19
2020-07-16	12
2020-07-17	9
2020-07-18	11
2020-07-19	8
2020-07-20	8
2020-07-21	6
2020-07-22	10
2020-07-23	6
2020-07-24	16
2020-07-25	8
2020-07-26	12
2020-07-27	10
2020-07-28	15
2020-07-29	23
2020-07-30	7
2020-07-31	9
2020-08-01	13
2020-08-02	7
2020-08-03	11
2020-08-04	16
2020-08-05	23
2020-08-06	12
2020-08-07	20
2020-08-08	15
2020-08-09	12
2020-08-10	12
2020-08-11	33
2020-08-12	12
2020-08-13	8
2020-08-14	10
2020-08-15	6
2020-08-16	7
2020-08-17	9
2020-08-18	13
2020-08-19	17
2020-08-20	10
2020-08-21	12
2020-08-22	15
2020-08-23	18
2020-08-24	8
2020-08-25	9
2020-08-26	12
2020-08-27	9
2020-08-28	8
2020-08-29	11
2020-08-30	13
2020-08-31	10
2020-09-01	12
2020-09-02	12
2020-09-03	10
2020-09-04	11
2020-09-05	9
2020-09-06	13
2020-09-07	12
2020-09-08	14
2020-09-09	12
2020-09-10	9
2020-09-11	20
2020-09-12	5
2020-09-13	8
2020-09-14	4
2020-09-15	7
2020-09-16	9
2020-09-17	8
2020-09-18	10
2020-09-19	5
2020-09-20	8
2020-09-21	11
2020-09-22	10
2020-09-23	12
2020-09-24	9
2020-09-25	6
2020-09-26	11
2020-09-27	14
2020-09-28	11
2020-09-29	12
2020-09-30	12
2020-10-01	9
2020-10-02	5
2020-10-03	13
2020-10-04	12
2020-10-05	3
2020-10-06	12
2020-10-07	11
2020-10-08	13
2020-10-09	13
2020-10-10	5
2020-10-11	11
2020-10-12	19
2020-10-13	12
2020-10-14	9
2020-10-15	12
2020-10-16	17
2020-10-17	42
2020-10-18	10
2020-10-19	18
2020-10-20	8
2020-10-21	16
2020-10-22	13
2020-10-23	10
2020-10-24	10
2020-10-25	20
2020-10-26	6
2020-10-27	8
2020-10-28	15
2020-10-29	5
2020-10-30	13
2020-10-31	9
2020-11-01	10
2020-11-02	22
2020-11-03	8
2020-11-04	9
2020-11-05	8
2020-11-06	13
2020-11-07	9
2020-11-08	16
2020-11-09	13
2020-11-10	12
2020-11-11	9
2020-11-12	9
2020-11-13	14
2020-11-14	10
2020-11-15	11
2020-11-16	4
2020-11-17	7
2020-11-18	8
2020-11-19	8
2020-11-20	12
2020-11-21	12
2020-11-22	7
2020-11-23	9
2020-11-24	13
2020-11-25	7
2020-11-26	17
2020-11-27	5
2020-11-28	15
2020-11-29	9
2020-11-30	12
2020-12-01	7
2020-12-02	14
2020-12-03	15
2020-12-04	13
2020-12-05	18
2020-12-06	7
2020-12-07	12
2020-12-08	3
2020-12-09	13
2020-12-10	9
2020-12-11	16
2020-12-12	17
2020-12-13	13
2020-12-14	19
2020-12-15	10
2020-12-16	9
2020-12-17	9
2020-12-18	8
2020-12-19	12
2020-12-20	15
2020-12-21	11
2020-12-22	9
2020-12-23	15
2020-12-24	5
e
# EOF #
