# Month and number of downloads of pcbinst-4.1.3.exe
2018-10  415
2018-11  531
2018-12  576
2019-01  570
2019-02  195
2019-03  12
2019-04  6
2019-05  6
2019-06  10
2019-07  2
2019-08  5
2019-09  12
2019-10  6
2019-11  4
2019-12  7
2020-01  7
2020-02  4
2020-03  5
2020-04  5
2020-05  7
2020-06  2
2020-07  3
2020-08  0
2020-09  0
2020-10  0
2020-11  0
2020-12  2
2021-01  1
2021-02  1
2021-03  1
2021-04  4
2021-05  0
2021-06  0
2021-07  2
2021-08  1
2021-09  2
2021-10  0
2021-11  0
2021-12  1
2022-01  2
2022-02  3
2022-03  1
2022-04  2
2022-05  0
2022-06  0
2022-07  1
2022-08  1
2022-09  1
2022-10  1
2022-11  0
2022-12  0
2023-01  1
2023-02  0
2023-03  1
2023-04  2
2023-05  0
2023-06  0
2023-07  1
2023-08  2
2023-09  0
2023-10  1
2023-11  0
2023-12  1
2024-01  0
2024-02  0
2024-03  0
2024-04  1
2024-05  2
2024-06  2
2024-07  1
2024-08  1
2024-09  2
2024-10  0
2024-11  0
2024-12  0
2025-01  0
2025-02  2
2025-03  1
2025-04  0
2025-05  1
2025-06  0
2025-07  1
2025-08  0
2025-09  1
2025-10  0
2025-11  0
2025-12  0
2026-01  0
2026-02  2
e
# EOF
