# Month and number of downloads of pcbinst-4.1.2.exe
2018-05  269
2018-06  372
2018-07  359
2018-08  456
2018-09  503
2018-10  66
2018-11  0
2018-12  2
2019-01  0
2019-02  0
2019-03  0
2019-04  0
2019-05  0
2019-06  0
2019-07  0
2019-08  0
2019-09  1
2019-10  1
2019-11  0
2019-12  4
2020-01  1
2020-02  0
2020-03  1
2020-04  1
2020-05  0
2020-06  2
2020-07  0
2020-08  0
2020-09  0
2020-10  1
2020-11  1
2020-12  0
2021-01  0
2021-02  0
2021-03  0
2021-04  0
2021-05  1
2021-06  0
2021-07  1
2021-08  0
2021-09  7
2021-10  0
2021-11  0
2021-12  0
2022-01  0
2022-02  1
2022-03  1
2022-04  2
2022-05  1
2022-06  0
2022-07  0
2022-08  0
2022-09  0
2022-10  0
2022-11  0
2022-12  0
2023-01  0
2023-02  0
2023-03  0
2023-04  0
2023-05  0
2023-06  0
2023-07  0
2023-08  1
2023-09  0
2023-10  0
2023-11  0
2023-12  0
2024-01  0
2024-02  0
2024-03  0
2024-04  0
2024-05  0
2024-06  0
2024-07  0
2024-08  1
2024-09  2
2024-10  0
2024-11  1
2024-12  0
2025-01  0
2025-02  0
2025-03  0
2025-04  0
2025-05  1
2025-06  0
2025-07  0
2025-08  0
2025-09  0
2025-10  0
2025-11  0
2025-12  0
2026-01  1
2026-02  0
2026-03  1
e
# EOF
